Cycle/PCAM,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
1,SHAP,79,0.129,0.497,0.904,0.01,0.183
1,SHAP,80,0.353,0.417,0.135,0.01,0.411
1,SHAP,81,0.117,0.396,0.103,0.01,0.355
1,SHAP,82,0.112,0.415,0.901,0.01,0.159
1,SHAP,83,0.156,0.431,0.228,0.01,0.342
1,SHAP,84,0.049,0.409,0.11,0.01,0.339
1,SHAP,85,0.258,0.429,0.129,0.01,0.392
1,SHAP,86,0.129,0.459,0.151,0.01,0.362
1,SHAP,87,0.163,0.435,0.194,0.01,0.354
1,SHAP,88,0.032,0.434,0.941,0.01,0.134
1,SHAP,89,0.232,0.422,0.18,0.01,0.371
1,SHAP,90,0.254,0.45,0.949,0.01,0.191
1,SHAP,91,0.433,0.436,0.124,0.01,0.439
1,SHAP,92,0.248,0.407,0.298,0.01,0.342
1,SHAP,93,0.216,0.434,0.935,0.01,0.181
1,SHAP,94,0.266,0.472,0.911,0.01,0.209
1,SHAP,95,0.448,0.408,0.829,0.01,0.259
1,SHAP,96,0.171,0.42,0.129,0.01,0.368
1,SHAP,97,0.185,0.445,0.896,0.01,0.186
1,SHAP,98,0.364,0.549,0.924,0.01,0.25
1,SHAP,99,0.142,0.379,0.971,0.01,0.14
2,GradCAM,0,1.0,0.28,0.928,0.993,0.586
2,GradCAM,1,1.0,0.276,0.306,0.984,0.738
2,GradCAM,2,1.0,0.464,0.364,1.0,0.775
2,GradCAM,3,1.0,0.338,0.351,0.973,0.74
2,GradCAM,4,0.999,0.265,0.978,0.982,0.567
2,GradCAM,5,1.0,0.416,0.797,0.97,0.647
2,GradCAM,6,1.0,0.331,0.45,0.992,0.718
2,GradCAM,7,1.0,0.204,0.322,0.97,0.713
2,GradCAM,8,1.0,0.463,0.217,0.999,0.811
2,GradCAM,9,1.0,0.266,0.469,0.843,0.66
2,GradCAM,10,1.0,0.373,0.798,0.982,0.639
2,GradCAM,11,1.0,0.487,0.375,0.999,0.778
2,GradCAM,12,1.0,0.389,0.152,0.992,0.807
2,GradCAM,13,1.0,0.402,0.286,0.992,0.777
2,GradCAM,14,1.0,0.326,0.423,0.996,0.725
2,GradCAM,15,1.0,0.343,0.646,0.976,0.669
2,GradCAM,16,1.0,0.242,0.541,0.966,0.667
2,GradCAM,17,1.0,0.263,0.728,0.992,0.632
2,GradCAM,18,1.0,0.347,0.736,0.995,0.651
2,GradCAM,19,1.0,0.263,0.657,0.995,0.65
2,GradCAM,20,1.0,0.213,0.673,0.983,0.631
2,GradCAM,21,1.0,0.524,0.983,0.999,0.635
2,GradCAM,22,1.0,0.416,0.974,0.999,0.61
2,GradCAM,23,1.0,0.298,0.65,0.989,0.659
2,GradCAM,24,1.0,0.2,0.784,0.987,0.601
2,GradCAM,25,1.0,0.327,0.218,0.988,0.774
2,GradCAM,26,1.0,0.402,0.988,0.999,0.603
2,GradCAM,27,1.0,0.269,0.795,0.918,0.598
2,GradCAM,28,1.0,0.214,0.662,0.984,0.634
2,GradCAM,29,0.998,0.209,0.259,0.963,0.728
2,GradCAM,30,1.0,0.227,0.693,0.982,0.629
2,GradCAM,31,1.0,0.362,0.428,0.994,0.732
2,GradCAM,32,1.0,0.497,0.448,0.994,0.761
2,GradCAM,33,1.0,0.321,0.499,0.996,0.705
2,GradCAM,34,1.0,0.268,0.669,0.975,0.643
2,GradCAM,35,1.0,0.288,0.463,0.992,0.704
2,GradCAM,36,1.0,0.305,0.403,0.993,0.724
2,GradCAM,37,1.0,0.466,0.226,0.998,0.81
2,GradCAM,38,1.0,0.224,0.711,0.992,0.626
2,GradCAM,39,1.0,0.388,0.989,0.995,0.598
2,GradCAM,40,1.0,0.294,0.742,0.987,0.634
2,GradCAM,41,1.0,0.277,0.452,0.982,0.702
2,GradCAM,42,1.0,0.246,0.659,0.956,0.636
2,GradCAM,43,1.0,0.285,0.895,0.979,0.592
2,GradCAM,44,1.0,0.343,0.641,0.94,0.66
2,GradCAM,45,0.999,0.212,0.974,0.981,0.555
2,GradCAM,46,1.0,0.447,0.871,0.995,0.643
2,GradCAM,47,1.0,0.415,0.592,0.998,0.705
2,GradCAM,48,1.0,0.286,0.66,0.994,0.655
2,GradCAM,49,0.999,0.324,0.446,0.97,0.712
2,GradCAM,50,1.0,0.451,0.175,0.999,0.819
2,GradCAM,51,0.999,0.233,0.885,0.977,0.581
2,GradCAM,52,1.0,0.534,0.194,0.997,0.834
2,GradCAM,53,1.0,0.318,0.629,0.992,0.67
2,GradCAM,54,1.0,0.42,0.89,0.996,0.632
2,GradCAM,55,1.0,0.307,0.636,0.965,0.659
2,GradCAM,56,1.0,0.254,0.629,0.967,0.648
2,GradCAM,57,1.0,0.223,0.844,0.99,0.592
2,GradCAM,58,1.0,0.289,0.673,0.969,0.646
2,GradCAM,59,1.0,0.271,0.8,0.984,0.614
2,GradCAM,60,1.0,0.359,0.426,0.996,0.732
2,GradCAM,61,1.0,0.294,0.702,0.995,0.647
2,GradCAM,62,0.999,0.304,0.914,0.964,0.589
2,GradCAM,63,1.0,0.259,0.887,0.969,0.585
2,GradCAM,64,1.0,0.583,0.152,0.998,0.857
2,GradCAM,65,1.0,0.344,0.82,0.997,0.63
2,GradCAM,66,1.0,0.412,0.203,0.997,0.801
2,GradCAM,67,1.0,0.315,0.473,0.985,0.707
2,GradCAM,68,1.0,0.305,0.412,0.993,0.722
2,GradCAM,69,1.0,0.26,0.873,0.99,0.594
2,GradCAM,70,1.0,0.4,0.787,0.996,0.652
2,GradCAM,71,1.0,0.293,0.414,0.995,0.719
2,GradCAM,72,0.999,0.318,0.984,0.989,0.58
2,GradCAM,73,0.999,0.148,0.723,0.972,0.599
2,GradCAM,74,0.998,0.241,0.873,0.98,0.586
2,GradCAM,75,1.0,0.418,0.674,0.998,0.685
2,GradCAM,76,1.0,0.393,0.337,0.989,0.761
2,GradCAM,77,1.0,0.19,0.579,0.94,0.637
2,GradCAM,78,1.0,0.301,0.767,0.984,0.629
2,GradCAM,79,1.0,0.359,0.706,0.987,0.66
2,GradCAM,80,1.0,0.296,0.592,0.994,0.675
2,GradCAM,81,1.0,0.292,0.308,0.992,0.744
2,GradCAM,82,1.0,0.293,0.621,0.965,0.659
2,GradCAM,83,1.0,0.313,0.715,0.998,0.649
2,GradCAM,84,1.0,0.309,0.51,0.983,0.696
2,GradCAM,85,1.0,0.247,0.459,0.994,0.695
2,GradCAM,86,1.0,0.302,0.386,0.934,0.713
2,GradCAM,87,1.0,0.27,0.741,0.993,0.63
2,GradCAM,88,1.0,0.404,0.96,0.997,0.61
2,GradCAM,89,1.0,0.318,0.778,0.995,0.634
2,GradCAM,90,1.0,0.448,0.639,0.998,0.702
2,GradCAM,91,1.0,0.229,0.454,0.995,0.693
2,GradCAM,92,1.0,0.233,0.842,0.991,0.596
2,GradCAM,93,1.0,0.308,0.451,0.986,0.711
2,GradCAM,94,1.0,0.214,0.872,0.959,0.575
2,GradCAM,95,0.979,0.348,0.962,0.949,0.579
2,GradCAM,96,1.0,0.467,0.198,0.994,0.816
2,GradCAM,97,0.999,0.272,0.834,0.991,0.607
2,GradCAM,98,1.0,0.318,0.891,0.996,0.606
2,GradCAM,99,0.996,0.275,0.983,0.982,0.568
2,SHAP,0,0.276,0.418,0.901,0.353,0.286
2,SHAP,1,0.179,0.411,0.868,0.442,0.291
2,SHAP,2,0.344,0.424,0.14,0.244,0.468
2,SHAP,3,0.251,0.454,0.134,0.278,0.462
2,SHAP,4,0.102,0.41,0.91,0.416,0.255
2,SHAP,5,0.081,0.473,0.915,0.343,0.246
2,SHAP,6,0.016,0.436,0.231,0.198,0.355
2,SHAP,7,0.241,0.443,0.898,0.134,0.23
2,SHAP,8,0.285,0.477,0.138,0.299,0.481
2,SHAP,9,0.215,0.424,0.892,0.369,0.279
2,SHAP,10,0.446,0.442,0.238,0.389,0.51
2,SHAP,11,0.052,0.454,0.109,0.255,0.413
2,SHAP,12,0.354,0.449,0.113,0.338,0.507
2,SHAP,13,0.21,0.43,0.825,0.233,0.262
2,SHAP,14,0.139,0.398,0.162,0.107,0.371
2,SHAP,15,0.152,0.413,0.928,0.182,0.204
2,SHAP,16,0.53,0.426,0.828,0.18,0.327
2,SHAP,17,0.15,0.411,0.935,0.313,0.235
2,SHAP,18,0.447,0.425,0.956,0.228,0.286
2,SHAP,19,0.328,0.444,0.261,0.303,0.454
2,SHAP,20,0.26,0.472,0.904,0.091,0.23
2,SHAP,21,0.077,0.414,0.928,0.315,0.219
2,SHAP,22,0.219,0.405,0.933,0.066,0.189
2,SHAP,23,0.236,0.408,0.184,0.291,0.438
2,SHAP,24,0.17,0.41,0.148,0.26,0.423
2,SHAP,25,0.37,0.411,0.168,0.195,0.452
2,SHAP,26,0.105,0.406,0.922,0.003,0.148
2,SHAP,27,0.252,0.479,0.193,0.459,0.499
2,SHAP,28,0.355,0.392,0.8,0.154,0.275
2,SHAP,29,0.065,0.443,0.742,0.094,0.215
2,SHAP,30,0.273,0.439,0.295,0.199,0.404
2,SHAP,31,0.213,0.447,0.116,0.292,0.459
2,SHAP,32,0.17,0.453,0.281,0.465,0.452
2,SHAP,33,0.386,0.429,0.172,0.351,0.499
2,SHAP,34,0.174,0.42,0.199,0.205,0.4
2,SHAP,35,0.188,0.454,0.131,0.255,0.442
2,SHAP,36,0.245,0.427,0.158,0.101,0.404
2,SHAP,37,0.243,0.523,0.111,0.364,0.505
2,SHAP,38,0.13,0.424,0.289,0.225,0.373
2,SHAP,39,0.219,0.39,0.921,0.139,0.207
2,SHAP,40,0.212,0.435,0.859,0.241,0.257
2,SHAP,41,0.336,0.445,0.837,0.261,0.301
2,SHAP,42,0.106,0.422,0.12,0.312,0.43
2,SHAP,43,0.258,0.647,0.948,0.438,0.349
2,SHAP,44,0.475,0.455,0.933,0.218,0.304
2,SHAP,45,0.194,0.391,0.918,0.106,0.194
2,SHAP,46,0.075,0.414,0.929,0.218,0.195
2,SHAP,47,0.287,0.433,0.191,0.356,0.471
2,SHAP,48,0.429,0.472,0.942,0.249,0.302
2,SHAP,49,0.379,0.402,0.189,0.064,0.414
2,SHAP,50,0.197,0.467,0.126,0.105,0.411
2,SHAP,51,0.365,0.439,0.89,0.249,0.291
2,SHAP,52,0.506,0.49,0.047,0.364,0.578
2,SHAP,53,0.078,0.419,0.908,0.158,0.187
2,SHAP,54,0.078,0.4,0.906,0.115,0.172
2,SHAP,55,0.235,0.444,0.772,0.299,0.301
2,SHAP,56,0.231,0.44,0.969,0.166,0.217
2,SHAP,57,0.172,0.408,0.253,0.208,0.384
2,SHAP,58,0.195,0.41,0.875,0.08,0.202
2,SHAP,59,0.351,0.417,0.226,0.253,0.449
2,SHAP,60,0.26,0.439,0.244,0.027,0.371
2,SHAP,61,0.224,0.421,0.901,0.132,0.219
2,SHAP,62,0.262,0.417,0.948,0.129,0.215
2,SHAP,63,0.247,0.427,0.167,0.079,0.397
2,SHAP,64,0.547,0.441,0.054,0.619,0.638
2,SHAP,65,0.348,0.429,0.338,0.369,0.452
2,SHAP,66,0.241,0.391,0.05,0.267,0.462
2,SHAP,67,0.255,0.431,0.82,0.511,0.344
2,SHAP,68,0.247,0.423,0.178,0.133,0.406
2,SHAP,69,0.115,0.391,0.891,0.367,0.246
2,SHAP,70,0.355,0.465,0.928,0.265,0.289
2,SHAP,71,0.37,0.393,0.783,0.023,0.251
2,SHAP,72,0.19,0.402,0.937,0.106,0.19
2,SHAP,73,0.297,0.393,0.838,0.222,0.268
2,SHAP,74,0.113,0.369,0.878,0.385,0.247
2,SHAP,75,0.135,0.443,0.168,0.055,0.366
2,SHAP,76,0.068,0.454,0.147,0.063,0.359
2,SHAP,77,0.286,0.418,0.152,0.259,0.453
2,SHAP,78,0.016,0.398,0.213,0.298,0.375
2,SHAP,79,0.229,0.433,0.859,0.128,0.233
2,SHAP,80,0.175,0.48,0.172,0.129,0.403
2,SHAP,81,0.203,0.404,0.15,0.287,0.436
2,SHAP,82,0.147,0.46,0.834,0.109,0.22
2,SHAP,83,0.248,0.427,0.232,0.158,0.4
2,SHAP,84,0.124,0.479,0.231,0.242,0.404
2,SHAP,85,0.18,0.463,0.165,0.141,0.405
2,SHAP,86,0.122,0.443,0.161,0.264,0.417
2,SHAP,87,0.442,0.396,0.181,0.255,0.478
2,SHAP,88,0.246,0.4,0.902,0.037,0.195
2,SHAP,89,0.178,0.445,0.193,0.141,0.392
2,SHAP,90,0.025,0.464,0.945,0.036,0.145
2,SHAP,91,0.321,0.453,0.213,0.245,0.451
2,SHAP,92,0.221,0.449,0.203,0.091,0.389
2,SHAP,93,0.524,0.402,0.893,0.294,0.332
2,SHAP,94,0.215,0.409,0.848,0.179,0.239
2,SHAP,95,0.088,0.42,0.853,0.068,0.181
2,SHAP,96,0.168,0.527,0.099,0.486,0.521
2,SHAP,97,0.2,0.51,0.827,0.332,0.304
2,SHAP,98,0.399,0.442,0.87,0.151,0.281
2,SHAP,99,0.22,0.416,0.942,0.425,0.28
3,GradCAM,0,1.0,0.287,0.94,0.984,0.583
3,GradCAM,1,1.0,0.273,0.377,0.966,0.716
3,GradCAM,2,1.0,0.46,0.362,1.0,0.775
3,GradCAM,3,0.999,0.364,0.226,0.983,0.78
3,GradCAM,4,0.999,0.295,0.98,0.986,0.575
3,GradCAM,5,1.0,0.44,0.905,0.977,0.628
3,GradCAM,6,1.0,0.317,0.47,0.989,0.709
3,GradCAM,7,1.0,0.215,0.468,0.969,0.679
3,GradCAM,8,1.0,0.476,0.2,0.999,0.819
3,GradCAM,9,1.0,0.258,0.534,0.871,0.649
3,GradCAM,10,1.0,0.39,0.774,0.987,0.651
3,GradCAM,11,1.0,0.494,0.312,0.999,0.796
3,GradCAM,12,1.0,0.406,0.089,0.995,0.828
3,GradCAM,13,1.0,0.385,0.248,0.989,0.781
3,GradCAM,14,1.0,0.332,0.404,0.997,0.731
3,GradCAM,15,1.0,0.342,0.75,0.979,0.643
3,GradCAM,16,1.0,0.228,0.611,0.947,0.641
3,GradCAM,17,1.0,0.257,0.739,0.99,0.627
3,GradCAM,18,1.0,0.359,0.768,0.995,0.646
3,GradCAM,19,1.0,0.282,0.69,0.993,0.646
3,GradCAM,20,1.0,0.222,0.745,0.981,0.614
3,GradCAM,21,1.0,0.538,0.985,0.998,0.638
3,GradCAM,22,1.0,0.408,0.981,0.997,0.606
3,GradCAM,23,1.0,0.283,0.619,0.983,0.662
3,GradCAM,24,1.0,0.215,0.74,0.99,0.616
3,GradCAM,25,1.0,0.326,0.201,0.992,0.779
3,GradCAM,26,1.0,0.372,0.992,0.995,0.594
3,GradCAM,27,1.0,0.279,0.695,0.953,0.634
3,GradCAM,28,1.0,0.193,0.668,0.978,0.626
3,GradCAM,29,1.0,0.219,0.407,0.973,0.696
3,GradCAM,30,1.0,0.234,0.69,0.984,0.632
3,GradCAM,31,1.0,0.372,0.399,0.995,0.742
3,GradCAM,32,1.0,0.479,0.351,0.993,0.78
3,GradCAM,33,1.0,0.332,0.414,0.991,0.727
3,GradCAM,34,1.0,0.286,0.557,0.985,0.678
3,GradCAM,35,1.0,0.303,0.368,0.993,0.732
3,GradCAM,36,1.0,0.311,0.398,0.995,0.727
3,GradCAM,37,1.0,0.495,0.186,0.998,0.827
3,GradCAM,38,1.0,0.222,0.685,0.993,0.632
3,GradCAM,39,0.999,0.346,0.992,0.969,0.581
3,GradCAM,40,1.0,0.299,0.747,0.992,0.636
3,GradCAM,41,1.0,0.283,0.435,0.989,0.709
3,GradCAM,42,1.0,0.239,0.506,0.971,0.676
3,GradCAM,43,1.0,0.287,0.949,0.985,0.581
3,GradCAM,44,1.0,0.33,0.728,0.955,0.639
3,GradCAM,45,1.0,0.204,0.98,0.955,0.545
3,GradCAM,46,1.0,0.476,0.898,0.995,0.643
3,GradCAM,47,1.0,0.412,0.568,0.997,0.71
3,GradCAM,48,1.0,0.307,0.794,0.985,0.625
3,GradCAM,49,1.0,0.345,0.341,0.962,0.741
3,GradCAM,50,1.0,0.444,0.164,0.998,0.819
3,GradCAM,51,0.998,0.248,0.916,0.976,0.577
3,GradCAM,52,1.0,0.569,0.109,0.997,0.865
3,GradCAM,53,1.0,0.321,0.689,0.988,0.655
3,GradCAM,54,1.0,0.373,0.943,0.994,0.606
3,GradCAM,55,1.0,0.317,0.736,0.976,0.639
3,GradCAM,56,1.0,0.272,0.771,0.941,0.61
3,GradCAM,57,0.999,0.222,0.86,0.991,0.588
3,GradCAM,58,0.999,0.286,0.775,0.914,0.606
3,GradCAM,59,1.0,0.248,0.784,0.983,0.612
3,GradCAM,60,1.0,0.359,0.482,0.996,0.718
3,GradCAM,61,1.0,0.293,0.783,0.993,0.626
3,GradCAM,62,0.999,0.296,0.968,0.972,0.575
3,GradCAM,63,1.0,0.251,0.888,0.979,0.585
3,GradCAM,64,1.0,0.615,0.073,0.998,0.885
3,GradCAM,65,1.0,0.363,0.774,0.997,0.647
3,GradCAM,66,1.0,0.437,0.162,0.998,0.818
3,GradCAM,67,1.0,0.316,0.525,0.987,0.695
