Cycle/CIFAR,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
1,SHAP,84,0.078,0.467,0.578,0.01,0.244
1,SHAP,85,0.25,0.48,0.102,0.01,0.41
1,SHAP,86,0.212,0.426,0.025,0.01,0.406
1,SHAP,87,0.065,0.519,0.1,0.01,0.373
1,SHAP,88,0.044,0.434,0.303,0.01,0.296
1,SHAP,89,0.106,0.441,0.222,0.01,0.334
1,SHAP,90,0.079,0.444,0.265,0.01,0.317
1,SHAP,91,0.24,0.459,0.002,0.01,0.427
1,SHAP,92,0.133,0.478,0.01,0.01,0.403
1,SHAP,93,0.226,0.507,0.005,0.01,0.434
1,SHAP,94,0.075,0.46,0.368,0.01,0.294
1,SHAP,95,0.081,0.489,0.001,0.01,0.395
1,SHAP,96,0.128,0.485,0.144,0.01,0.37
1,SHAP,97,0.078,0.479,0.091,0.01,0.369
1,SHAP,98,0.275,0.447,0.292,0.01,0.36
1,SHAP,99,0.212,0.458,0.003,0.01,0.419
2,GradCAM,0,0.961,0.396,0.073,0.997,0.82
2,GradCAM,1,0.956,0.304,0.016,0.984,0.807
2,GradCAM,2,0.89,0.295,0.025,0.961,0.78
2,GradCAM,3,0.9,0.375,0.299,0.997,0.743
2,GradCAM,4,0.919,0.279,0.596,0.998,0.65
2,GradCAM,5,0.905,0.284,0.027,0.991,0.788
2,GradCAM,6,0.967,0.466,0.2,0.999,0.808
2,GradCAM,7,0.961,0.407,0.129,0.989,0.807
2,GradCAM,8,0.901,0.304,0.029,0.994,0.792
2,GradCAM,9,0.98,0.378,0.836,0.998,0.63
2,GradCAM,10,0.958,0.423,0.068,0.994,0.827
2,GradCAM,11,0.924,0.367,0.053,0.992,0.807
2,GradCAM,12,0.964,0.482,0.019,0.998,0.856
2,GradCAM,13,0.934,0.37,0.369,0.99,0.731
2,GradCAM,14,0.976,0.358,0.182,0.944,0.774
2,GradCAM,15,0.853,0.37,0.081,0.991,0.783
2,GradCAM,16,0.961,0.382,0.052,0.997,0.822
2,GradCAM,17,0.975,0.313,0.129,0.998,0.789
2,GradCAM,18,0.922,0.377,0.827,0.989,0.615
2,GradCAM,19,0.874,0.286,0.006,0.989,0.786
2,GradCAM,20,0.951,0.347,0.002,0.967,0.816
2,GradCAM,21,0.908,0.346,0.005,0.999,0.812
2,GradCAM,22,0.879,0.322,0.129,0.914,0.747
2,GradCAM,23,0.971,0.319,0.912,0.984,0.591
2,GradCAM,24,0.919,0.4,0.021,0.996,0.824
2,GradCAM,25,0.932,0.279,0.053,0.989,0.787
2,GradCAM,26,0.847,0.337,0.697,0.983,0.617
2,GradCAM,27,0.932,0.247,0.023,0.994,0.787
2,GradCAM,28,0.981,0.335,0.025,0.996,0.822
2,GradCAM,29,0.963,0.414,0.411,0.995,0.74
2,GradCAM,30,0.951,0.386,0.198,0.994,0.783
2,GradCAM,31,0.966,0.39,0.006,0.997,0.837
2,GradCAM,32,0.973,0.286,0.114,0.992,0.784
2,GradCAM,33,0.972,0.315,0.107,0.996,0.794
2,GradCAM,34,0.965,0.419,0.932,0.996,0.612
2,GradCAM,35,0.866,0.301,0.004,0.986,0.787
2,GradCAM,36,0.879,0.334,0.852,0.997,0.589
2,GradCAM,37,0.835,0.319,0.001,0.998,0.788
2,GradCAM,38,0.916,0.332,0.021,0.979,0.802
2,GradCAM,39,0.909,0.345,0.001,0.987,0.81
2,GradCAM,40,0.887,0.348,0.225,0.993,0.751
2,GradCAM,41,0.923,0.355,0.043,0.997,0.808
2,GradCAM,42,0.973,0.335,0.034,0.995,0.817
2,GradCAM,43,0.896,0.311,0.005,0.983,0.796
2,GradCAM,44,0.835,0.272,0.007,0.997,0.774
2,GradCAM,45,0.865,0.369,0.608,0.997,0.656
2,GradCAM,46,0.966,0.362,0.001,0.981,0.827
2,GradCAM,47,0.983,0.313,0.068,0.993,0.805
2,GradCAM,48,0.99,0.414,0.114,0.999,0.822
2,GradCAM,49,0.933,0.305,0.037,0.996,0.799
2,GradCAM,50,0.847,0.343,0.136,0.976,0.757
2,GradCAM,51,0.889,0.345,0.017,0.956,0.793
2,GradCAM,52,0.981,0.412,0.411,0.995,0.744
2,GradCAM,53,0.826,0.327,0.068,0.993,0.77
2,GradCAM,54,0.939,0.291,0.138,0.974,0.767
2,GradCAM,55,0.958,0.364,0.62,0.998,0.675
2,GradCAM,56,0.934,0.337,0.005,0.989,0.814
2,GradCAM,57,0.992,0.407,0.786,0.996,0.652
2,GradCAM,58,0.953,0.433,0.005,0.993,0.843
2,GradCAM,59,0.982,0.368,0.022,0.987,0.829
2,GradCAM,60,0.898,0.392,0.005,0.997,0.82
2,GradCAM,61,0.92,0.41,0.851,0.99,0.617
2,GradCAM,62,0.952,0.38,0.315,0.999,0.754
2,GradCAM,63,0.916,0.324,0.019,0.994,0.804
2,GradCAM,64,0.944,0.391,0.008,0.992,0.83
2,GradCAM,65,0.98,0.403,0.033,0.988,0.835
2,GradCAM,66,0.973,0.336,0.016,0.955,0.812
2,GradCAM,67,0.891,0.337,0.002,0.986,0.803
2,GradCAM,68,0.961,0.387,0.928,0.998,0.604
2,GradCAM,69,0.954,0.487,0.027,0.998,0.853
2,GradCAM,70,0.993,0.471,0.013,0.999,0.863
2,GradCAM,71,0.829,0.372,0.003,0.99,0.797
2,GradCAM,72,0.968,0.357,0.003,0.994,0.829
2,GradCAM,73,0.976,0.463,0.01,0.998,0.857
2,GradCAM,74,0.896,0.41,0.131,0.996,0.792
2,GradCAM,75,0.972,0.377,0.056,0.996,0.822
2,GradCAM,76,0.861,0.294,0.079,0.992,0.767
2,GradCAM,77,0.97,0.261,0.044,0.994,0.795
2,GradCAM,78,0.847,0.336,0.105,0.992,0.767
2,GradCAM,79,0.949,0.349,0.846,0.989,0.61
2,GradCAM,80,0.89,0.339,0.003,0.987,0.803
2,GradCAM,81,0.856,0.32,0.099,0.991,0.767
2,GradCAM,82,0.973,0.303,0.01,0.998,0.816
2,GradCAM,83,0.983,0.374,0.499,0.992,0.713
2,GradCAM,84,0.864,0.313,0.236,0.981,0.73
2,GradCAM,85,0.988,0.367,0.034,0.997,0.829
2,GradCAM,86,0.973,0.455,0.013,0.998,0.853
2,GradCAM,87,0.965,0.341,0.001,0.995,0.825
2,GradCAM,88,0.935,0.317,0.003,0.99,0.81
2,GradCAM,89,0.971,0.358,0.047,0.997,0.82
2,GradCAM,90,0.992,0.35,0.142,0.996,0.799
2,GradCAM,91,0.995,0.35,0.002,0.984,0.832
2,GradCAM,92,0.966,0.334,0.009,0.995,0.822
2,GradCAM,93,0.796,0.417,0.022,0.998,0.797
2,GradCAM,94,0.982,0.371,0.062,0.995,0.822
2,GradCAM,95,0.9,0.312,0.008,0.993,0.799
2,GradCAM,96,0.922,0.42,0.486,0.998,0.714
2,GradCAM,97,0.967,0.425,0.225,0.997,0.791
2,GradCAM,98,0.925,0.383,0.012,0.999,0.824
2,GradCAM,99,0.969,0.329,0.012,0.979,0.816
2,SHAP,0,0.284,0.488,0.197,0.215,0.448
2,SHAP,1,0.111,0.462,0.587,0.274,0.315
2,SHAP,2,0.238,0.455,0.739,0.431,0.346
2,SHAP,3,0.105,0.449,0.222,0.212,0.386
2,SHAP,4,0.04,0.444,0.413,0.175,0.311
2,SHAP,5,0.035,0.475,0.307,0.327,0.382
2,SHAP,6,0.204,0.458,0.206,0.161,0.404
2,SHAP,7,0.262,0.516,0.097,0.34,0.505
2,SHAP,8,0.226,0.503,0.199,0.314,0.461
2,SHAP,9,0.159,0.408,0.188,0.279,0.414
2,SHAP,10,0.248,0.476,0.048,0.266,0.486
2,SHAP,11,0.159,0.465,0.031,0.246,0.46
2,SHAP,12,0.265,0.501,0.379,0.194,0.395
2,SHAP,13,0.12,0.493,0.028,0.281,0.467
2,SHAP,14,0.118,0.529,0.177,0.176,0.411
2,SHAP,15,0.188,0.474,0.012,0.126,0.444
2,SHAP,16,0.335,0.492,0.079,0.353,0.525
2,SHAP,17,0.199,0.462,0.103,0.313,0.468
2,SHAP,18,0.216,0.481,0.119,0.353,0.483
2,SHAP,19,0.087,0.489,0.501,0.242,0.329
2,SHAP,20,0.12,0.549,0.316,0.295,0.412
2,SHAP,21,0.155,0.467,0.003,0.51,0.532
2,SHAP,22,0.249,0.479,0.111,0.248,0.466
2,SHAP,23,0.125,0.51,0.31,0.273,0.399
2,SHAP,24,0.031,0.439,0.01,0.165,0.406
2,SHAP,25,0.119,0.521,0.53,0.33,0.36
2,SHAP,26,0.157,0.474,0.166,0.296,0.44
2,SHAP,27,0.178,0.447,0.345,0.227,0.377
2,SHAP,28,0.131,0.511,0.052,0.195,0.446
2,SHAP,29,0.132,0.45,0.26,0.166,0.372
2,SHAP,30,0.248,0.549,0.071,0.339,0.516
2,SHAP,31,0.004,0.449,0.005,0.228,0.419
2,SHAP,32,0.24,0.518,0.079,0.286,0.491
2,SHAP,33,0.281,0.508,0.207,0.344,0.482
2,SHAP,34,0.304,0.473,0.142,0.267,0.476
2,SHAP,35,0.11,0.513,0.475,0.243,0.348
2,SHAP,36,0.23,0.395,0.459,0.225,0.348
2,SHAP,37,0.32,0.458,0.575,0.291,0.374
2,SHAP,38,0.201,0.447,0.07,0.344,0.48
2,SHAP,39,0.118,0.477,0.005,0.183,0.443
2,SHAP,40,0.166,0.469,0.329,0.254,0.39
2,SHAP,41,0.138,0.479,0.017,0.304,0.476
2,SHAP,42,0.282,0.517,0.05,0.305,0.513
2,SHAP,43,0.107,0.493,0.003,0.3,0.474
2,SHAP,44,0.161,0.426,0.346,0.166,0.352
2,SHAP,45,0.258,0.412,0.418,0.28,0.383
2,SHAP,46,0.191,0.49,0.048,0.19,0.456
2,SHAP,47,0.179,0.438,0.005,0.306,0.48
2,SHAP,48,0.239,0.517,0.786,0.225,0.299
2,SHAP,49,0.14,0.5,0.011,0.209,0.46
2,SHAP,50,0.11,0.429,0.152,0.098,0.371
2,SHAP,51,0.23,0.501,0.077,0.259,0.478
2,SHAP,52,0.25,0.436,0.148,0.23,0.442
2,SHAP,53,0.164,0.456,0.019,0.281,0.47
2,SHAP,54,0.123,0.483,0.062,0.152,0.424
2,SHAP,55,0.324,0.502,0.536,0.494,0.446
2,SHAP,56,0.211,0.513,0.006,0.323,0.51
2,SHAP,57,0.302,0.667,0.145,0.496,0.58
2,SHAP,58,0.102,0.446,0.005,0.312,0.464
2,SHAP,59,0.06,0.454,0.259,0.184,0.36
2,SHAP,60,0.216,0.554,0.007,0.374,0.534
2,SHAP,61,0.258,0.518,0.165,0.379,0.498
2,SHAP,62,0.16,0.492,0.392,0.167,0.357
2,SHAP,63,0.161,0.47,0.007,0.209,0.458
2,SHAP,64,0.293,0.468,0.063,0.421,0.53
2,SHAP,65,0.212,0.521,0.045,0.241,0.482
